subject,anat HEAD,anat BRIK,funcon HEAD,funcon BRIK,all Links OK?, cleanEPI.MNI exists, #ventricle voxels in mask, #wm voxels in mask
364_A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No voxels,1038
364_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,29, 2091
365_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,31, 3206
365_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,31, 3104
366_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6, 3362
366_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,29, 3460
367_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,42, 3528
367_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,36, 3345
368_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,24, 2678
369_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,85, 2763
370_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25, 3328
371_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,39, 2893
372_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,14, 2759
373_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,54, 3458
374_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,75, 3957
376_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,152, 3902
377_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,91, 3539
378_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,13, 2785
380_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,29, 3535
380_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12, 3522
382_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,133, 3300
386_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33, 3005
389_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,18, 3046
389_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,22, 3256
390_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,32, 3616
391_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20, 3255
392_A,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No File,No File
392_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,125, 3728
393_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,122, 4406
395_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,26, 2854
396_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,98, 3857
397_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,127, 3681
397_C,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No File,No File
398_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,136, 3860
399_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,47, 4058
400_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,61, 5070
401_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,36, 4265
401_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,48, 4241
402_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7, 2952
403_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,31, 2859
403_C,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No File,No File
404_A,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No File,No File
405_A,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No File,No File
406_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,36, 2831
406_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,46, 2811
407_A,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No File,No File
409_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11, 3086
410_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,71, 3914
410_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,72, 3907
411_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25, 3895
412_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,86, 2938
413_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,16, 3749
414_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25, 2639
414_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33, 2773
415_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,17, 2806
415_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,14, 2792
417_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,34, 2930
418_A,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No File,No File
419_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,81, 4138
419_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,69, 4248
420_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,23, 4149
421_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,58, 2398
422_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,24, 3246
423_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,13, 3006
424_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,90, 3670
425_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,38, 3138
